═══════════════════════════════════════════
  Prime+Probe — RPi3 Cortex-A53
═══════════════════════════════════════════
Cache:         512KB, 16-way, 512 sets
Set stride:    32768 B
Buffer:        544 KB
Monitored sets:32
Threshold:     180 ns
Rounds:        500

[+] Buffer: 544KB at 0xffffb3948000
[+] HPC counters active on core 1

Round,Evicted_Sets,HPC_Misses,HPC_Refs,Miss_Rate_Pct,Cycles,Instructions,Avg_Probe_ns,Status
51,0,803,198482,0.40,1437287,1085381,83,NORMAL
52,0,369,208883,0.18,1421812,1146141,78,NORMAL
53,0,334,208476,0.16,1413157,1136605,76,NORMAL
54,0,288,209164,0.14,1412967,1140087,76,NORMAL
55,0,363,202685,0.18,1419949,1119917,71,NORMAL
56,0,318,208049,0.15,1413184,1135698,78,NORMAL
57,0,746,214710,0.35,1413558,1126880,87,NORMAL
58,0,455,196040,0.23,1413837,1097639,86,NORMAL
59,0,609,205547,0.30,1416895,1113487,73,NORMAL
60,0,345,208262,0.17,1412212,1136156,81,NORMAL
61,0,318,209042,0.15,1420197,1142180,78,NORMAL
62,0,458,207659,0.22,1435275,1131369,76,NORMAL
63,0,365,208479,0.18,1422031,1144974,83,NORMAL
64,0,349,208312,0.17,1413451,1136461,78,NORMAL
65,0,250,207914,0.12,1412647,1137673,76,NORMAL
66,0,886,200883,0.44,1421428,1072250,81,NORMAL
67,0,444,207205,0.21,1413327,1134172,74,NORMAL
68,0,493,208889,0.24,1412928,1134670,73,NORMAL
69,0,295,207873,0.14,1413049,1137714,79,NORMAL
70,0,469,205931,0.23,1413652,1115184,79,NORMAL
71,0,334,208395,0.16,1413693,1137060,73,NORMAL
72,0,310,208419,0.15,1414614,1138293,81,NORMAL
73,0,273,212208,0.13,1436220,1155303,86,NORMAL
74,0,1099,200784,0.55,1422714,1073286,78,NORMAL
75,0,435,218500,0.20,1486062,1191397,79,NORMAL
76,0,321,207906,0.15,1415840,1141159,86,NORMAL
77,0,308,208487,0.15,1416992,1138799,78,NORMAL
78,0,425,202995,0.21,1413028,1130839,73,NORMAL
79,0,509,212769,0.24,1445808,1143164,76,NORMAL
80,0,302,209191,0.14,1413732,1140958,79,NORMAL
81,0,297,208098,0.14,1413571,1137673,79,NORMAL
82,0,654,194466,0.34,1421055,1079307,83,NORMAL
83,0,355,210437,0.17,1428288,1145490,76,NORMAL
84,0,433,209075,0.21,1415392,1136625,74,NORMAL
85,0,270,208202,0.13,1416959,1144360,78,NORMAL
86,0,382,203545,0.19,1413288,1112939,81,NORMAL
87,0,280,207581,0.13,1412198,1140955,78,NORMAL
88,0,245,209309,0.12,1417563,1140193,74,NORMAL
89,0,488,200308,0.24,1460998,1129848,74,NORMAL
90,0,659,210656,0.31,1422294,1122019,71,NORMAL
91,0,347,208028,0.17,1413472,1138845,73,NORMAL
92,0,631,213143,0.30,1413761,1129867,79,NORMAL
93,0,415,203705,0.20,1419679,1116632,76,NORMAL
94,0,361,207823,0.17,1413666,1139798,76,NORMAL
95,0,417,209266,0.20,1413213,1131609,82,NORMAL
96,0,263,207769,0.13,1413581,1141997,74,NORMAL
97,0,629,194623,0.32,1414327,1070302,79,NORMAL
98,0,341,207403,0.16,1413103,1136053,81,NORMAL
99,0,286,208104,0.14,1416445,1142410,74,NORMAL
100,0,390,211857,0.18,1430144,1146545,76,NORMAL
101,0,500,203073,0.25,1417855,1118520,81,NORMAL
102,0,302,207784,0.15,1413597,1137278,81,NORMAL
103,0,284,207348,0.14,1420135,1142769,79,NORMAL
104,0,327,209037,0.16,1413781,1137326,78,NORMAL
105,0,597,193944,0.31,1414307,1070716,83,NORMAL
106,0,532,209643,0.25,1419965,1138419,78,NORMAL
107,0,321,207836,0.15,1412274,1135758,81,NORMAL
108,0,300,207735,0.14,1412577,1140996,76,NORMAL
109,0,386,208140,0.19,1448284,1146080,86,NORMAL
110,0,308,208058,0.15,1413548,1135323,81,NORMAL
111,0,390,211346,0.18,1427296,1144844,87,NORMAL
112,0,475,208639,0.23,1421227,1137480,81,NORMAL
113,0,517,194419,0.27,1414632,1080199,74,NORMAL
114,0,336,208335,0.16,1420447,1145413,73,NORMAL
115,0,339,208075,0.16,1412530,1136414,74,NORMAL
116,0,367,207953,0.18,1412778,1132519,79,NORMAL
117,0,481,205018,0.23,1419716,1123305,76,NORMAL
118,0,708,213707,0.33,1413757,1124516,76,NORMAL
119,0,362,207224,0.17,1412739,1139284,78,NORMAL
120,0,509,201273,0.25,1420918,1100690,83,NORMAL
121,0,459,201832,0.23,1414157,1116624,78,NORMAL
122,0,435,212056,0.21,1435193,1151481,81,NORMAL
123,0,331,208871,0.16,1420705,1142038,74,NORMAL
124,0,361,203166,0.18,1413151,1114572,81,NORMAL
125,0,314,209039,0.15,1420202,1145491,76,NORMAL
126,0,299,208069,0.14,1413324,1136763,79,NORMAL
127,0,266,209870,0.13,1425452,1149933,74,NORMAL
128,0,762,195565,0.39,1420139,1074633,70,NORMAL
129,0,491,207884,0.24,1413398,1136902,76,NORMAL
130,0,316,207695,0.15,1413165,1137745,78,NORMAL
131,0,289,208204,0.14,1413576,1137444,79,NORMAL
132,0,372,202883,0.18,1413006,1117299,71,NORMAL
133,0,379,212249,0.18,1434790,1150074,86,NORMAL
134,0,368,208861,0.18,1420985,1144390,81,NORMAL
135,0,287,207045,0.14,1413170,1134574,74,NORMAL
136,0,998,200225,0.50,1419208,1065113,73,NORMAL
137,0,435,207640,0.21,1413182,1133075,78,NORMAL
138,1,333,207397,0.16,1412379,1134513,253,NORMAL
139,0,454,209343,0.22,1419508,1142760,76,NORMAL
140,0,440,202755,0.22,1412520,1112893,78,NORMAL
141,0,277,208043,0.13,1412275,1137026,76,NORMAL
142,0,257,208298,0.12,1418856,1145418,76,NORMAL
143,0,368,209053,0.18,1413265,1133614,79,NORMAL
144,0,529,199575,0.27,1445107,1089459,78,NORMAL
145,0,952,214432,0.44,1424744,1140060,73,NORMAL
146,0,318,207399,0.15,1412997,1140616,78,NORMAL
147,0,344,210232,0.16,1421372,1142790,71,NORMAL
148,0,323,201771,0.16,1413828,1117529,78,NORMAL
149,0,265,208334,0.13,1412321,1137080,83,NORMAL
150,0,414,209885,0.20,1419439,1140200,76,NORMAL
151,0,553,200025,0.28,1414672,1092809,76,NORMAL
152,0,457,201812,0.23,1414315,1117128,81,NORMAL
153,0,335,212301,0.16,1448824,1163983,74,NORMAL
154,1,298,209284,0.14,1414357,1134693,439,NORMAL
155,0,574,209039,0.27,1427929,1130606,86,NORMAL
156,0,395,209123,0.19,1419651,1135791,71,NORMAL
157,0,316,207564,0.15,1412912,1135707,83,NORMAL
158,0,289,208537,0.14,1419887,1145517,79,NORMAL
159,0,537,193933,0.28,1414484,1076157,74,NORMAL
160,0,406,208068,0.20,1413618,1135798,76,NORMAL
161,0,440,218640,0.20,1480872,1188148,78,NORMAL
162,0,779,213698,0.36,1415583,1128520,79,NORMAL
163,0,468,202162,0.23,1413805,1120950,71,NORMAL
164,0,350,209029,0.17,1421023,1134439,74,NORMAL
165,0,287,207912,0.14,1413287,1137645,74,NORMAL
166,0,399,209919,0.19,1420403,1142889,81,NORMAL
167,0,627,193576,0.32,1414138,1071425,74,NORMAL
168,0,331,208352,0.16,1413401,1136958,81,NORMAL
169,0,328,208386,0.16,1418952,1144953,78,NORMAL
170,0,298,208275,0.14,1412715,1136712,79,NORMAL
171,0,340,204660,0.17,1448320,1139652,79,NORMAL
172,0,457,212347,0.22,1415297,1138224,78,NORMAL
173,0,315,207409,0.15,1413709,1140027,73,NORMAL
174,0,357,205295,0.17,1413733,1129260,74,NORMAL
175,0,539,198379,0.27,1421255,1088198,83,NORMAL
